,sentiment,document
1102,2,Trip to Fredonia in the works for this Friday. Looking to play on Valentine's new table. Msg me for more details.
1103,2,Tomorrow she is @RTEDigital reporter at Davos for Geeks. Perhaps she'll bring us home an internet gazillionaire instead pic.twitter.com/YWhYslaV
1104,2,"ESPN- Indians fire manager Acta with six games left: The Cleveland Indians fired manager Manny Acta on Thursday,... http://es.pn/TI5LlG "
1105,3,Thank you to all of our parents& guidance staff for our annual Academic Signing Day on Thursday! I'll post photos soon!
1106,3,Scorcher Fest returns to the Duke again for a huge day of LIVE music! This years RECORD 180 ACTS! Sunday 18th... http://fb.me/2dmZ5hepW 
1107,3,Game 3 tomorrow!!! I'm excited in this shit than the coming pro bowl haha
1108,2,"Bill Murray: Yeah, on Monday I am off to meet Infinity Ward about the next game, Modern Warfare 4, Im doing work on the sequel to MW3"
1109,3,"Sat here with a cuppa coffee, watching Jeremy Kyle with @susancallinanxD #lovely"
1110,2,"I want to watch The Vow, so guess whose gonna watch that tomorrow night,.with tissues?! ---->>> Thiss girl :))"
1111,2,@pushplayjt the @okcthunder should have traded @JHarden13 for Monta Ellis and 1st round pick... #smh #bucks #thunde #bemilwaukee #BucksPride
1112,1,"She said that some day soon, the sun was gonna shine. And she...couldn't have been more wrong! My Valentine."
1113,2,I think I may know the story of the party nail. Salina Gomez jammed her finger the night before the Grammy awards. I rock a party toe today!
1114,3,First the Superbowl now Revel will finally be released on DVD on Nov 24th! My day is complete!!!! Oh how I love my Bey
1115,2,"I am going home tonight and sleeping until about 5:30 pm tomorrow, just in time to get to Durham for the Duke game."
1116,3,Safe and sound at #FLIBS We'll be all over the docks tomorrow!
1117,3,"just #watched Dream High 2 episode 1, I'll watch it tomorrow for next episode :D .."
1118,1,awwww shit I still got some new Amsterdam in the fridge. mmhmm tomorrow after work ima need that before I go out
1119,2,"on February 13th. ""Desperation Day"" A magical night, when a ten has the self-esteem of a four and the depraved enthusiasm of a two. :bd"
1120,3,@thehawk38 I smell a 2nd PRO BOWL for my boy! Best safety in the league! Shout out for that solid legal hit! #TheHawk4ProBowl
1121,3,Ben Amos doing well @Hull .Another clean sheet. He says he's enjoying the challenge of playing regular 1st team football. #MUFC
1122,2,"I'm not the go out type. Saturday nights are my ""stay up all night with the fellas on 360"" night, but I think I'll dive into Paterno's bio."
1123,3,SNEAK PEEK: Check out the 12 Freebies you can get at CVS on Black Friday! Link in the first comment:
1124,3,"Afterwork social @2552 S. King Dr. from 4-9 saturday. steppin,food, drinks. 5 days work and sixth day for relaxation."
1125,2,@HockeyyInsiderr Gagner has been in trade rumours since the beginning of the year. Can't claim 1st on this one bud.
1126,3,"If you haven't seen your Good Giving Guide yet, check it out online. The Challenge starts Nov 1 - we appreciate your support!..."
1127,2,Here are the five Capital One Cup matches tonight and some potential upsets on the cards - Swindon to beat Aston Villa? http://www.bettingpro.com/category/Football/Capital-One-Cup-Tuesday-fixtures-and-preview-201210290060/ …
1128,2,"Article 54: A Bro is required to go out with his Bros on official Bro holidays; halloween, New Year's Eve, and Desperation Day (February 13)"
1129,3,Channing Tatum may not be that good of an actor but he sure as hell can dance #ayyyyye
1130,1,How are you spending your Saturday night? I'm currently sitting crying my eyes out to The Vow.
1131,2,I think my mom might buy me the box set bc i've been bugging her about MSG and i told her i'd give her $30 if she got it before november 14
1132,2,Capello: I'll Tweak Lineup for Azerbaijan Game: Coach Fabio Capello said Monday he will tweak the Russian lineup... http://bit.ly/RsE2zk 
1133,1,"@Iiamneeson all I can say is that it was very unrealistic. The 1st movie was better-storyline, dialogue! And of course ""The Grey"" thumbs up!"
1134,2,"The boys will do promo in Sweden today (November 2nd) and they will perform on Sweden XF tonight, live stream here http://www.tv4play.se/program/x-factor?video_id=2222929 …"
1135,1,Tomorrow is last day for early voting in Nevada. I am not inspired to vote early. I don't like many of the choices. Most suck balls.
1136,3,"Oingo Boingo (well, most of the band) tomorrow & Leonard Cohen on Monday. #DudeImStoked"
1137,2,"ALL 49'ers fans, go vote for @jgoody59 for the 2013 Pro Bowl. http://www.nfl.com/probowl/ballot  you may vote as many times as you like."
1138,2,NBA NEWS: The New York Knicks will take on the Miami Heat at MSG on Saturday (Australian Time) in their season... http://fb.me/1mrs12uo1 
1139,1,"Can't watch Rafa's ""I'll be back"" video til the end, it's too heartbreaking :( plus it just reminded me he was up 5/1 in AO 5th set..."
1140,2,"New Basics Foundation for January just listed, beginning Monday January 28th - that's right, Australia Day public... http://fb.me/24X9OtT17 "
1141,2,"Andre's Wigan Warning: Wigan might currently occupy 15th place in the Premier League, but Andre Villas-Boas is w... http://bit.ly/TdkAba "
1142,2,3rd day in a row catching my mom watching Sophia grace and Rosie #obsessed #shelikesrosie #seriousfan
1143,3,A1 Live in Cebu at the Waterfront Cebu Hotel and Casino on November 23 http://cebufinest.com/a1-live-in-cebu-at-the-waterfront-cebu-hotel-and-casino-on-november-23/ … #CebuFinest
1144,3,@IBGDRGN Today is our Chinese July 7th Valentine's day I hope you will soon find you that she wishes you to be happy Happy Valentine's Day
1145,2,Sat here watching Celebrity Juice again 3rd time today with my mum.
1146,3,YAY!!! We are front page on Will Ferrell's Funny or Die for the 24th time! Check it out!... http://fb.me/2uvQlqRcc 
1147,2,@MrsCheddies mid-Feb at the moment. I'm hoping it arrives before Chinese New Year!
1148,3,"Higgins ""Great experience for the young group and to meet with Premier League teams a real highlight"" ""Very young squad to play on Sat"""
1149,2,"Bucks backcourt mates Brandon Jennings and Monta Ellis had a ""little brother-big brother"" talk on Sunday, as Jennings described it."
1150,2,"@KButter5: dook football, even the sun shines on a dog's a$$ some days. #UNC Dook..."
1151,3,The 10th Annual Colossal Castle Contest has begun!: The Colossal Castle Contest is one of the longest running L... http://bit.ly/Y8gzsB 
1152,1,They should make february 13th Desperation Day.
1153,1,It seem like it's NATIONAL KISSING DAY every other THURSDAY! Who tf made that shit up??!
1154,3,"@jennettemccurdy wow look at this another amazing Monday ""Jennette On Ellen"" in 8 place we do this for you we love you pic.twitter.com/lTHURVaW"
1155,2,"Georgetown playing JMU in ""secret scrimmage"" on Saturday while GMU does the same at Marquette. http://cbsprt.co/YnOAEA  (h/t @gmuhoops )"
1156,3,@CodySIO Im so excited for when you come to Northern Lights on the 27th it will probably make my life.
1157,3,Wow my last RT. It's only been 4 years since Verm's arrival. He's now Captain and will make his 100th start for AFC on Sat. Time flies.
1158,3,"Goodnight bots! Tomorrow remember 106 & Park, MOBO Twitter chat, and David Letterman with @RitaOra! Good day for the Bots!"
1159,2,Sat waiting for the bus trying to beat my high score on Temple Run #justbecause
1160,3,"Ed Sheeran fucking loves Minnesota tho by the end of his Taylor swift concert, it will be his 7th time performing here, 4 of them in 1 year"
1161,2,This next Superbowl is on my (21st) birthday. Random fact of the day.
1162,1,Count day tomorrow shouldnt even GO ! Winans is CRAZY -_-
1163,1,Ghost Rider 2 is some bullshit smh it will be back in the red box tomorrow
1164,2,Endymion for the 4th time i blieve.! ahaha #TeamOrjan #CLHRDay
1165,2,"Off to bed with sexy Mr man, tomorrow morning watch out Galveston here we come just made 100 jello shots"
1166,3,"Birthday Cake is gonna be the song leading us into 4th quarter, count it."
1167,2,If U live near Long Beach consider going to @Parkcrest Church 2 hear @bobrobertsjr Sat @6 or Sun @830/10/1130 #BoldAsLove @Vision360LB
1168,3,ok Im off twitter for the night til tomorrow Bomb Squad enjoy ur night love you much!
1169,3,"Thinking Thursday: Your affectionate WORSHIP will lead you into effective WARFARE! ~Narda Goodson, 2012 Narda's Nuggets"
1170,2,3 hrs to go before the 2nd to the last episode! Wherever You Are Josh Bradley | David Archuleta In Nandito Ako | Alwyn Ana RS In TV5 Manila
1171,2,i want tickets to the Thursday Game Heat vs Knicks (Game 3) hmm...
1172,2,"Imma need Brook Lopez to get more aggressive on the boards. 7 feet tall, c'mon son"
1173,3,Bulls season tips off Wednesday night vs Sacramento Kings. Excited is not the word.
1174,3,"@plumpyTM Getting my Xbox back tomorrow! Honestly can't wait! - My friends wants a competitive 3v3, see if Cole is up for it man!"
1175,2,SASA will be having the first ever Bhangra Bootcamp on November 7th - 10pm at CIF! Only $5 to learn from our very own NACS 2012 Champions!
1176,1,"Centre suffering from 'policy paralysis', alleges Jayalalithaa: Jayalalithaa on Tuesday charged the UPA go... http://bit.ly/P84izT  #News"
1177,3,Eric Arc Elliott may be the best rapper in Flatbush ZOMBiES.
1178,2,Red delays new price anouncement till tomorrow 6PM. Sounds like they want to dig for Sony prices some more.
1179,2,July 8th... It's goin down at DAR Constitution Hall... I'm gonna make this last part rhyme... MB Y'ALL!!!!!
1180,3,"Scott & Evelyn Swanson, both work for FEMA. Happy to host trick-treaters tonight, Evelyn heads out tomorrow http://instagr.am/p/Rd0qwekroj/ "
1181,3,"Cant wait to move to Hawaii this Saturday! Promotion, New townhouse, new car & with myKING... Definitely a happy girl :)"
1182,1,Ghost Rider 2's a bad movie compared to the 1st.
1183,3,"Okay, okay...Saturday OT just became worth it...someone came with Porto's cheese rolls! YUM!"
1184,2,Westbound into the U.S.- ongoing bridge inspection- construction - may be delays - Eastbound into Canada- Trucks No delay -cars no delay
1185,2,"JR Smith wanna be a starter so damn bad lol, nigga said 6th Man of the Year Award is not what he's thinking about"
1186,2,Today's future of news wood: free Hawkeye Lego toy on the cover of Murdoch's Sun http://pinterest.com/pin/118008452707468658/ …
1187,2,"Parma's 3-1 v Roma: Biabiany was offside on the 1st pass attempt, but the ball stopped on the wet pitch and he received the ball on 2nd one!"
1188,2,Jennifer Aniston & Drew Barrymore: Fill In The Blank!: At the 2012 LACMA Art + Film Gala on Sat... http://adf.ly/EA8Hn  #Hollywood #news
1189,3,AHHHHH just got Lauren's email!!! We are going to snap tomorrow #beready
1190,2,ASTROLOGY NUMEROLOGY NOW host Z. STARMAN talks about the upcoming MERCURY RETROGRADE that begins November 6th -... http://fb.me/1Js9Vmn1o 
1191,2,Bring it On CD signing and performance event w @Lin_Manuel tomorrow at 300pm. Barnes and Noble on 86th and Lexington in Manhattsn:-)
1192,2,Club Bodi may be out the question tonight
1193,3,"They say you are what you eat, but it's Friday and I don't care! #TGIF (@ Ogalo Crows Nest) http://4sq.com/R1YJSN "
1194,2,http://bit.ly/b6bkTH  Haye: Vitali deal 'signed': David Haye still expects a fight with Vita... http://bit.ly/RCJgbM  CLICK-1st-LINK! 2WIN
1195,2,"If you live in the South Orlando area, be on the lookout. @Wawa has its 6th site opening on October 30th near the Florida Mall!"
1196,3,"Hey everyone! Who's excited for Cosplay Casino Night tomorrow?! It's in the Center for Social Justice, at our... http://fb.me/2yexYvRtS "
1197,1,"#NEW #SHIT 10 Things to Know for Friday: The U.S. Postal Service, on the brink of default on a second... http://bit.ly/SHGhDu  #NEW #SWAG"
1198,3,Heat vs Knicks gone be the best series in the 1st round..
1199,2,"I'm going to Halestorm at Backstage Live in San Antonio, TX - Nov 10 http://bnds.in/Ou2CiH "
1200,2,Playstation Vita ordered. I should have it on Tuesday and then LBPV the Tuesday after that. :)
1201,1,"Man, I'm sorry for the death of MR.MITCH LUCKER. May he rest in PEACE."
1202,2,"nickelodeon slimefest is on saturday 15th of September at the Hordern Pavilion near moore park feat. justice crew, stan walker and many more"
1203,2,"Jinja Safari have Hiccups, catch them live this Thursday with Opossom and White Arrows on the Blind Date Tour http://ow.ly/cUYWt "
1204,3,"Just met with CJ, banjo player in @MatrimonyBand! Come out to Neighborhood Theatre on June 23rd for the concert! You won't want to miss it!!"
1205,2,"Are U in NY? Do U want freedom for Khader Adnan? Are U awesome? If so, U better be at the rally in NY, Feb 20 4:30-7:30 at Israeli embassy"
1206,2,Raleigh and Fayette Counties have been added to the Winter Storm Watch from late Sunday to late Tuesday. Higher... http://fb.me/1nqu98H2X 
1207,2,Mass tomorrow then Retreat Friday with da homie @bradychant
1208,2,"Well, monsoon coming in from the North and the Bomb Squad down in Midtown on the 15th. Time to go."
1209,3,Tomorrow is going to be an easy day. Just show my bib cards for Eng which will be like 25 mins since I'm LAST then get my test back in math
1210,2,"Hey! Lauren (clarinet!) would like you all to know about this event hosted by BRIC! Hey everyone, so on Sunday,... http://fb.me/268bok1aA "
1211,2,Now gotta wait for Friday for the Knicks first game #3seed
1212,2,On Thursday over fifty countries and international organisations will come together for the London Conference on... http://fb.me/JZlsET1t 
1213,3,Damn. I would totally buy the Sun for this. @michaelroston: Future of news again: Free Hawkeye Lego with Murdoch's Sun http://pinterest.com/pin/118008452707468663/ …
1214,1,"@WSJ: The U.S. Postal Service reported a $5.2 billion quarterly loss, says it is nearly out of cash.<-- Sat mail will be gone very soon..."
1215,2,haven't watched TTOA with Eng Sub yet. gotta sleep now. gonna watch it tomorrow. (~O~)zZ Gud nite tlist.
1216,2,played the song 'Ain't No Need To Worry (Album Version)' by THE WINANS on @myspace http://lnk.ms/X9241 
1217,3,Our SE member the Alresford Community Choir to share the stage with Brit Award winning @TheBandBlake on Sep 15 @TRwinchester. How exciting!
1218,1,Nobel Peace laureate Jose Ramos-Horta warned Monday that Syria risked becoming a new Somalia as he voiced pessim ... http://tf.to/a7bF6 
1219,3,"I'm excited for Riri's 7th studio album ""Unapologetic"" See the album cover: pic.twitter.com/75sWc2pd"
1220,3,Every Thursday I fall more and more in love with Maya Rudolph
1221,2,"Open Dialog is cosponsoring with GLOBES to present to you ""Searching for Social Justice"" next Wednesday at 6pm. http://fb.me/K5jLTghb "
1222,2,"#WednesdayWisdom from the old @OzingaRMC Alsip Sign: Do it now, since it will be yesterday tomorrow. pic.twitter.com/Vc9dxiwJ"
1223,3,"@alfredoflores follow @amandawanxo and meet her on NOVEMBER 26. she deserves to meet you,crew & justin. She'll be at the bell center at 4!."
1224,1,"extra point is no good. Its DSU 28, Morgan State 20 with 5:02 left in the 3rd quarter."
1225,2,I think Matty may have just implied that Max is doing a Christmas song. Or Lulu. Or Durston.
1226,2,im spending my hole friday wit bo we gone blow sme keisha nd grab a pack of blacks nd watch the battle of lebron career vs. CARMELO ANTHONY
1227,2,Scrubbin to the max tomorrow cause I gotta work out and leave for a game.
1228,1,i keep thinking about the fact that MMG will be in lexington on saturday and i won't be there:(((((
1229,2,White Arrows play The Earl on OCTOBER 9TH with Family of the Year and The New Cassettes. DON'T MISS THIS. http://fb.me/1C5fV8W7p 
1230,3,"Volunteering 4 the Obama campaign this AM! But I keep waitin 4 #Olivia to come in yelling ""Super Tuesday is coming people!"" @KerryWashington"
1231,2,"Anonymous' WikiLeaks like Project Tyler to Launch in December: A hacker, who claims to be a member of the hackin... http://bit.ly/XXL9US "
1232,2,"Going to 3MPH: a Woman's Walk Around the ... at Chautauqua Community House on Mon, Nov 12 http://zvents.com/e/JgmeX/1V "
1233,3,"Erotic Asphyxiation, Evanescence, Strip Clubs and Kaaba have been the topics of my discussions today! Happy Friday?!"
1234,3,@sue_bryce hey sue. So excited to see you at WPPI U tomorrow. We're coming don Canada and would love to buy you a drink. @catG_photo
1235,2,"on my YM shit right now. just finished listening to I Am Not A Human Being. now going onto Pink Friday. after this, hello Careless World."
1236,2,Oct 9 1888 The Washington Monument officially opened to the general public. Have you been to visit?
1237,2,Today: Sefton v @AlderCC HOME 12noon - including President's Day; 2nd XI v @newtoncricket Away 12.45pm. Let's hope the forecast's wrong!
1238,2,S/o to one of my clients for the season ticks! SATURDAY WE ARE LIVE IN LEXINGTON LEVELS http://instagr.am/p/RgVaBxM3LR/ 
1239,2,@mw55 what do you expect Thursday? Are you going to pull out that Mikey Magic on Duels day again? #hopeso
1240,3,@swamy39 U proved to be a better scriptwriter than Shazia Ilmi. #Ramdev will end fast or move to Ramlila where he has permission till 30 Aug
1241,2,@RockstarGames Bring GTA3/Vice City 10th Anniversaries to the PS Vita!
1242,1,So June 9th is the day. This is gonna be worse the the Galaxy Foams
1243,2,Watch live streaming video of the Pancake Day activities tomorrow at http://www.dailyiowegian.com/live ! Make sure you... http://fb.me/1exf6ZtRd 
1244,3,"Other than lemon tea&lemonade. Coke &Pepsi are my 2nd favorites. As unhealthy they are, i cant/wont stop drinking them,they're just so good"
1245,2,#Queen is worried about Black M.Hence #Mumbai Riot See#MSM lies thin crowd @ Ramlila on 3rd day:http://www.firstpost.com/india/ramdev-defers-big-revolutionary-announcement-till-sunday-414975.html?utm_source=storypage … n http://www.ibtl.in/column/1286/the-power-of-people-ramlila-maidan …
1246,2,"@Q98Rocks Presents: DETHKLOK with MACHINE HEAD, ALL THAT REMAINS, and BLACK DAHLIA MURDER! TUESDAY, NOVEMBER 13TH AT THE VENUE AT THE HUB!"
1247,2,One more day left in Iqaluit. Back home in Ottawa tomorrow
1248,3,Monday at Town Ballroom: RICHIE HAWTIN with LOCO DICE. Dude is so awesome. Tix still avail at http://afterdarkpresents.com  http://youtu.be/05ydm0WuOaM 
1249,1,Watched The Wiggles for the 1st time. Was embarrassed for those men & then I remembered that they are probably FILTHY RICH. #parenting
1250,2,was sat watching Degrassi then came to the realisation that Little Things will be aired in a while.
1251,3,The Knicks got the Heat at MSG tomorrow! Gonna be tough but we got this!! #knickstape #GoNewYork
1252,1,"Madison don't wipe your black lines off !! ""It's like Ash Wednesday, you don't wipe that shit off."""
1253,2,"If I'm a CiCi's buffet, these mosquitoes are going in on me like obese Catholics on the last Friday of Lent."
1254,1,How have I missed that today is National Margarita Day?!?!? Kinda doesn't go with Ash Wednesday.....
1255,3,Tonight's the decider -- will I be at the Garden friday night for Knicks/Heat game 6? Here's hoping for a miracle...
1256,1,@Michael5SOS are you coming to nz tonight or tomorrow morning?? Waaa im so confused ):
1257,2,http://bit.ly/b6bkTH  Price: I'd take Vitali fight: David Price says he would fight Vitali K... http://bit.ly/PmG0QL  CLICK-1st-LINK! 2WIN
1258,3,My Miami Heat are going to Demolish the New York Knicks tomorrow. I am from New York. But sorry knicks!!
1259,2,Indian Ocean with @simon_reeve got 1.4m viewers on Sunday with repeated programme about Somalia. More than double much trailed show on C4.
1260,3,"Blessed is the heart that bends, it will never be broken--- Lucas Scott Good pre-bedtime OTH after a busy day! Can't wait for tomorrow #zzzz"
1261,3,"Freestyle Wednesday - #NP Big L, Jay Z, Mos Def, Black Thought, Eminem, Yelawolf... Love it"
1262,2,Winter Storm Watch for portions of the WDBJ7 viewing area until 8:00pm Tuesday. http://bit.ly/J98BFD 
1263,3,"About India: Auto production may end FY13 with 6% growth: CMIE - Mumbai: Automobile production, which took a... http://tinyurl.com/d652po2 "
1264,2,"Sony's putting out a new PS3 Firmware Update on Tuesday that FINALLY lets you see your PS Vita trophies on PS3. About ****ing time, Sony."
1265,2,"First 24 hours in London got given a free rail card, saw 3 squirrels going to work, may have found a home & there's big Alan rickman posters"
1266,2,"GM FBF, let's go ole skool today...The Winans, the choices 1) Tomorrow 2) Uphold Me or 3) Bring Back The Days, the voting begins now!"
1267,1,@XochilihcoX C'mon Leo where's Endymion....... Or Amsterdam I know he likes Amsterdam. those songs are shit compared to the ones i put
1268,2,We closing out the Knicks tomorrow
1269,2,"Just got the call the magazine is ready for pickup get your copy at the ""Hands That Heal Fashion Show"" Nov 4th Mr. Reggie 404-246-9582"
1270,1,I just need to chill. Can't wait to unleash some aggression at Black Dahlia Murder tomorrow. #GonnaEndALife
1271,3,So ready for my birthday. (((: the big SIXTEEN! #sweetsixteen november 22!
1272,2,"@isawn_furlan The pretty reckless, my chemical romance, a day to remember, 30 seconds to mars, hey monday, evanescence, mcfly etc .."
1273,3,rita oras on xfactor on sunday which means she'll sing shine ya light which i love which makes me happy!:-)
1274,3,Just caught the last few minutes of @orjan_nilsen's track Endymion on @SiriusXMArea. Great track to get ready for work with. Its my FRIDAY!!
1275,3,Richie Hawtin - Monday Night - Buffalo Town Ballroom - Don't miss it!
1276,2,"So many shows in the near future: Metafest, Royal Teeth, M83, White Arrows, Grouplove, SweetTeaPumpkinPie Music Fest and Taking Back Sunday."
1277,1,Dr Jan Radio 2uE tonight with David Oldfield re Kevin Rudd's sad loss of family cat. Pets deserve honouring cos they love unconditionally.
1278,3,Real test for #Bayern this weekend against the in form Bayer Leverkusen. A win at home on Sunday will go a long way towards a 15 win streak.
1279,2,Just watched the 1st ever Elimination Chamber match I had no idea it was an hour long till it ended.
1280,2,I just bought two tickets for the Sacramento Kings season opener on Monday! HYPED.
1281,3,Rondo should be glad the All-Star game isn't hosted in DC with those Galaxy Foams on.
1282,2,i'll make my bid for the adidas predator tomorrow Godwilling...
1283,2,Make sure everyone comes out to our first opener practice tomorrow at 6:30 at the Murphy Center in dance studio B!!!
1284,3,"Just whooped some ASS in kill confirmed with @QuiKGunZ and @PBrasfieldATO, tomorrow its back to makin kats cry in Gears3"
1285,3,I would like to trade President's Day and Columbus Day for the day after the Super Bowl and July 5th please.
1286,1,I have to wait till Sunday to see Carmelo Anthony and the Knicks debut?
1287,3,"@geoffstults on September 5th, The Finder reaches italian tv (with the worst title translation ever). FINALLY!!! :D #finder #risolutore #sky"
1288,2,"According to the radio, Rihanna's Birthday Cake is the official 4th of July anthem. Sounds about right."
1289,2,"Jennifer Aniston, Justin Theroux high end shopping; time to decorate the crib: Tuesday, E! Online shared the vid... http://bit.ly/YqtOnI "
1290,3,I get to Procter the PSAT with my homie @KimaniAH tomorrow!!! It only took them three years to partner us up lol
1291,2,Bayern Munich goalkeeper Manuel Neuer shows he could play in midfield v Bayer Leverkusen: Bayern Munich may have... http://bit.ly/STk4yO 
1292,3,Porto is even more amazing as the sun sets... http://instagr.am/p/RYBL-khjB1/ 
1293,3,Heat vs Knicks first round of playoffs tomorrow!!! #Lebron#Wade better bring it!!!
1294,1,I guess Knicks/Heat is on for now. Pretty clear that tomorrow's game wasn't going to happen.
1295,2,"@alfredoflores follow @amandawanxo , on november 26, find her outside the bell center and meet her. please? <31"
1296,2,Last day in Jeddah. Will be in Brunei tomorrow night. And then Surabaya the following night. And then Bali the night after that. Whee!
1297,3,Happy Birthday to the coolest golfer in Bali! @tjvictoriacnd !! :) may you become cooler and cooler everyday! Stay humble little sister! Xx
1298,2,ME& @QueenofCol going to Phuk The City Up Sept 15. we taking it back to Fairground for #BATTLEOFTHESEXES lets see who rock men/women
1299,2,"watched Unofficially Yours with Richard Mark Morcella, his partner and Jaja Abastillas"
1300,2,"Who's appearing at the Houston Livestock Show and Rodeo come March? That is, other than George Strait?... http://tinyurl.com/cxg7xtd "
1301,2,There are now only EIGHT tickets left for @casualviolence 's November 5th show at the Leicester Square Theatre.. Get in quick folks!!!
1302,3,if you LOVE to dance I hope to see you supporting this event. SATURDAY. all INFO on the flyer! http://fb.me/MjbUQWEj 
1303,2,"*raises hand*RT @NY_SexyLady: ""Tomorrow"" by The Winans is on my heart so heavy this morning... Wonder who needs to hear it!"
1304,2,"November 3rd-Norfolk, VA-NorVa Theatre (NAS ONLY)November 4th-Washington,DC - DAR Constitution Hall......for you concert seekers out there !"
1305,2,@KiranKS Those who justified Mumbai Police's incompetency for Aug 11 are the same ones who supported Delhi Police's action at Ramlila...!!
1306,2,"@kinagrannis Two Birthday Cakes! One with Jelly Beans! I wonder what kind of Birthday Cake the 2nd one was? Goodnight Kina, Emi, and Misa."
1307,1,The Knicks vs Nets game got moved all the way to the 26th damn
1308,1,"@sadulsterclown1 what lies have they told? Catholics may have been 'ethnically cleansed' in some areas but Protestants got it worse, no..."
1309,2,"Talk About The History of Valentine Day: Every February 14, across the United States and in other places around the... http://dlvr.it/24XClT "
1310,2,May I get a Lucas Scott for a sleepover tonight? Please! #DalalWantsLucasScott
1311,3,"Ash Wednesday lyric~ she shouts to the east god u better have something better for me cause if this is it, well i want better than this..."
1312,1,"Mncim, the rain that stopped last Saturday's game wasted our time waitse! Maybe SS4 would be playing something better tonight."
1313,2,"When I see reactions to stories about ""benefit scroungers"" and the ""lazy poor"" in the Sun, I wonder if Murdoch is a latter-day Pavlov"
1314,1,"Kinda sucks, he missed my classes graduation over something he may or may not have done"
1315,3,"@NiallOfficial I'm singing What Makes You Beautiful for a school performance tomorrow! Wish me luck? Any advice? Follow? Lol love you, Niall"
1316,2,"Aug 30! Toads Place, New Haven CT. Myself, M.A.R., Jitta on the Track, Danimal Lector and more! http://instagr.am/p/OGqN-Gu_RD/ "
1317,2,"I'm going to Babaman at Vidia in Cesena, Italy - Dec 22 http://bnds.in/Pe3WY7 "
1318,2,@Dixieconley I'm dropping becca off tomorrow and then going to Ash
1319,2,England''s Patel stakes Test claim with century: MUMBAI: Samit Patel hit a century on Thursday to make a strong ... http://bit.ly/Y7DwvY 
1320,1,Valentine day has been cancelled..what? Why? how? you may be asking. But you see it's simple math.. 14-2-12 =0
1321,3,Are you guys as ready as I am for RIRI 7th album .... Come on NOVEMBER 19 :) #rihannanavy @rihanna rihan http://instagr.am/p/RJMArBPmFd/ 
1322,2,Brook Lopez with a Double Double in the 3rd #NetsNation
1323,2,"THE SKINNY: Breezy may be getting it from RiRi AND ex, KT. Getting that cake! cake! cake! and eating it too. <3... http://fb.me/1DFFBx7RW "
1324,2,"If this is the end for @TSN990Radio, I once again have to commend @TheKaufmanShow for his emotional Gary Carter memorial show in February"
1325,2,OMG!!! Ramin and Sierra performing Phantom of the opera at the classical brit awards televised on sunday ITV at 10.30pm!!!! :D
1326,2,"Seven has 6 shows in top 15, ABC 2nd with 5, Nine third with 4. Ten and SBS rate 0. http://www.theaustralian.com.au/media/abc-strong-as-tens-woes-continue/story-e6frg996-1226508291787?sv=84dd9b9f6bd35681e62aa7dd04deb0dc#.UJLxXPRJUuE.twitter …"
1327,2,From a Call to Prayer for America Saturday at the Washington Reflecting pool with the Washington Monument in the... http://fb.me/1QfP8eR7G 
1328,3,First time I ever heard SS was in 6th grade and I actually loved it. I didn't know the song at the the time so I couldn't continue to listen
1329,3,"Proud of Aishwarya's French honour: Big B: Mumbai, Nov 2 (IANS) Megastar Amitabh Bachchan says he is proud that ... http://bit.ly/Ybn91B "
1330,2,"Short hair is back! Check it out. (clockwise) Alicia K, RiRi, Miley C and Twiggy the 1st skinny model. #pi http://instagr.am/p/RcsD5Yr9oF/ "
1331,1,Lack of communication from #nycdoe very frustrating regarding reporting time for work tomorrow. Thank you #uft and @GothamSchools for Info
1332,2,***Thursday night Friday night dinner special*** Salmon & Jumbo Shrimp 15.95 Whole Fish (Porgie) 1.5lb with lemon... http://fb.me/w6fwNOZm 
1333,2,"Got new Aesop Rock, Master Ace & DOOM, Nas, Flatbush Zombies, Jon Connor, & Cyhi ready for the flight tomorrow, been sleepin on lots of shit"
1334,2,Foreign commentator award at the #commentawards goes to the late Marie Colvin of the Sunday Times
1335,3,Intermission FC took a big step towards the title with a hard fought 1-0 win over fellow table toppers The Real Ajax on Monday night.
1336,3,Tomorrow is a good day to listen to LAMB OF GOD. HAHAHAHA.
1337,2,might as well go ahead and download the parade tracker app. Think a Zulu float may show up before the bus.
1338,3,@jodiianto Lmaooo that's def in Ajax. I guess I'll give it to ya in December :)
1339,2,"Memorial Day, President's Day, Monday, any day seems to be the right day to see Independence Day on t.v."
1340,2,I forgot Plies gone be at the moon tomorrow
1341,3,"With the election right around the corner, RRFP is pleased to announce Super Tuesday! Get an additional 5%... http://fb.me/1muzgAdQK "
1342,2,The season opener for the New York Knicks is now Miami @ New York On Friday. That's how it should be.
1343,3,The last lecture of the day on a Monday to me is like Pancake Day for fat kids #dreamy
1344,1,Did you just tell me Lucas scott leaves in the 6th season of tree hill with peyton to travel the wolrd?#YOUJUSTRUINEDMYLIFE #FUCKYOU
1345,2,"Parsons also confirmed w/ TW reporter abt JLin's popularity, also 'promised' he'll visit Taiwan next yr http://www.libertytimes.com.tw/2012/new/oct/6/today-sp10.htm?Slots=All …"
1346,3,"Having family pictures done on Saturday with my 4 favorite girls! Hannah, Katie , Shan and my Tam! Can't wait! Life can't get any better!"
1347,2,"For those wondering about when/if Murray State's Zay Jackson will play this year -- last Friday, MSU AD Allen Ward said ... (cont)"
